gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rr-z, foot-contact-time, rr-contact
, , 2916.487999999999829, 0, , , 2916.487999999999829, 1, , , 2916.487999999999829, 1, , , 2916.487999999999829, 0
, , 2916.4929999999999382, 0, , , 2916.4929999999999382, 1, , , 2916.4929999999999382, 1, , , 2916.4929999999999382, 0
, , 2916.4980000000000473, 0, , , 2916.4980000000000473, 1, , , 2916.4980000000000473, 1, , , 2916.4980000000000473, 0
, , 2916.5039999999999054, 0, , , 2916.5039999999999054, 1, , , 2916.5039999999999054, 1, , , 2916.5039999999999054, 0
, , 2916.5090000000000146, 0, , , 2916.5090000000000146, 1, , , 2916.5090000000000146, 1, , , 2916.5090000000000146, 0
, , 2916.51299999999992, 0, , , 2916.51299999999992, 1, , , 2916.51299999999992, 1, , , 2916.51299999999992, 0
, , 2916.5189999999997781, 0, , , 2916.5189999999997781, 1, , , 2916.5189999999997781, 1, , , 2916.5189999999997781, 0
, , 2916.5239999999998872, 0, , , 2916.5239999999998872, 1, , , 2916.5239999999998872, 1, , , 2916.5239999999998872, 0
, , 2916.5279999999997926, 0, , , 2916.5279999999997926, 1, , , 2916.5279999999997926, 1, , , 2916.5279999999997926, 0
, , 2916.5329999999999018, 0, , , 2916.5329999999999018, 1, , , 2916.5329999999999018, 1, , , 2916.5329999999999018, 0
, , 2916.5380000000000109, 0, , , 2916.5380000000000109, 1, , , 2916.5380000000000109, 1, , , 2916.5380000000000109, 0
, , 2916.5430000000001201, 0, , , 2916.5430000000001201, 1, , , 2916.5430000000001201, 1, , , 2916.5430000000001201, 0
, , 2916.5479999999997744, 0, , , 2916.5479999999997744, 1, , , 2916.5479999999997744, 1, , , 2916.5479999999997744, 0
, , 2916.5529999999998836, 0, , , 2916.5529999999998836, 1, , , 2916.5529999999998836, 1, , , 2916.5529999999998836, 0
, , 2916.5579999999999927, 0, , , 2916.5579999999999927, 1, , , 2916.5579999999999927, 1, , , 2916.5579999999999927, 0
, , 2916.5639999999998508, 0, , , 2916.5639999999998508, 1, , , 2916.5639999999998508, 1, , , 2916.5639999999998508, 0
, , 2916.568000000000211, 0, , , 2916.568000000000211, 1, , , 2916.568000000000211, 1, , , 2916.568000000000211, 0
, , 2916.5729999999998654, 0, , , 2916.5729999999998654, 1, , , 2916.5729999999998654, 1, , , 2916.5729999999998654, 0
, , 2916.5790000000001783, 0, , , 2916.5790000000001783, 1, , , 2916.5790000000001783, 1, , , 2916.5790000000001783, 0
, , 2916.5830000000000837, 0, , , 2916.5830000000000837, 1, , , 2916.5830000000000837, 1, , , 2916.5830000000000837, 0
, , 2916.5889999999999418, 0, , , 2916.5889999999999418, 1, , , 2916.5889999999999418, 1, , , 2916.5889999999999418, 0
, , 2916.5929999999998472, 0, , , 2916.5929999999998472, 1, , , 2916.5929999999998472, 1, , , 2916.5929999999998472, 0
, , 2916.5979999999999563, 0, , , 2916.5979999999999563, 1, , , 2916.5979999999999563, 1, , , 2916.5979999999999563, 0
, , 2916.6030000000000655, 0, , , 2916.6030000000000655, 1, , , 2916.6030000000000655, 1, , , 2916.6030000000000655, 0
, , 2916.6080000000001746, 0, , , 2916.6080000000001746, 1, , , 2916.6080000000001746, 1, , , 2916.6080000000001746, 0
, , 2916.612999999999829, 0, , , 2916.612999999999829, 1, , , 2916.612999999999829, 1, , , 2916.612999999999829, 0
, , 2916.6199999999998909, 0, , , 2916.6199999999998909, 1, , , 2916.6199999999998909, 1, , , 2916.6199999999998909, 0
